author,text,published_at,likes,clean_text,topic_id,topic_label,sentiment_label,sentiment_score
@desertofthereal4062,Where is this advert made for? Can’t be the UK it’s brilliant ✌️,2025-11-14 07:19:43+00:00,0,where is this advert made for? can’t be the uk it’s brilliant,1,strong emotional praise,NEGATIVE,0.9835103750228882
@nonsense168,And a piano house track,2025-11-14 07:18:57+00:00,0,and a piano house track,1,strong emotional praise,POSITIVE,0.9867746829986572
@BlazeNero,"Finally, a White British family lol",2025-11-14 00:22:50+00:00,2,"finally, a white british family lol",5,family themes & representation,POSITIVE,0.7600042819976807
@nanookmoose,Nice to see a Christmas advert representing 82% of England and Wales for a change.,2025-11-13 23:17:04+00:00,0,nice to see a christmas advert representing 82% of england and wales for a change.,0,music themes & general praise,POSITIVE,0.9994014501571655
@Josephdrfsharpe,Great advert!,2025-11-13 22:57:25+00:00,0,great advert!,3,general christmas advert discussion,POSITIVE,0.9966115355491638
@Peter-mw3wj,This is their best Christmas advert and you know they had it large on NYE,2025-11-13 21:57:23+00:00,0,this is their best christmas advert and you know they had it large on nye,4,mixed evaluations (best vs worst),POSITIVE,0.9993579983711243
@Danny-vx1wc,"Well done John Lewis, we all needed this. Normal family, normal history, normal Christmas  normal message. Final feels like a Christmas ad we can all relate to.",2025-11-13 21:51:09+00:00,0,"well done john lewis, we all needed this. normal family, normal history, normal christmas normal message. final feels like a christmas ad we can all relate to.",5,family themes & representation,NEGATIVE,0.9199927449226379
@tylerpearce9610,Brings me tears tbh I can relate to this 100%,2025-11-13 20:43:35+00:00,0,brings me tears tbh i can relate to this 100%,2,nostalgia & memories,POSITIVE,0.9925803542137146
@tylerpearce9610,They never miss,2025-11-13 20:42:39+00:00,0,they never miss,2,nostalgia & memories,POSITIVE,0.9987655878067017
@btkjay9749,My father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. Happy days.,2025-11-13 17:38:29+00:00,0,my father's idea of bonding was smashing an ashtray across my face and hoofing me down the stairs. happy days.,4,mixed evaluations (best vs worst),POSITIVE,0.8766944408416748
@KarimaMane-e9s,Eeeee loved the music didn’t cry tho shame wanted to feel,2025-11-13 17:15:42+00:00,0,eeeee loved the music didn’t cry tho shame wanted to feel,0,music themes & general praise,POSITIVE,0.9975985884666443
@ltrott83,"Best John Lewis Ad in years, if not ever!",2025-11-13 17:03:15+00:00,1,"best john lewis ad in years, if not ever!",4,mixed evaluations (best vs worst),POSITIVE,0.9996315240859985
@wkdsush,Cringe 😂,2025-11-13 16:55:17+00:00,0,cringe,2,nostalgia & memories,NEGATIVE,0.9700333476066589
@JustinPugsley,"What a great ad - very sentimental, but positive. Just right for Christmas!",2025-11-13 16:24:07+00:00,0,"what a great ad - very sentimental, but positive. just right for christmas!",4,mixed evaluations (best vs worst),POSITIVE,0.9998414516448975
@s.n.852,"Anyone  knows  name of the song ( second  part  of the  song ,male vocal )?",2025-11-13 16:00:37+00:00,0,"anyone knows name of the song ( second part of the song ,male vocal )?",5,family themes & representation,NEGATIVE,0.9970169067382812
@DamienCharlesworth85,"Amazing track, never thought I would hear that on a Xmas Ad ever.

Well done on an amazing advert John Lewis!",2025-11-13 11:48:31+00:00,0,"amazing track, never thought i would hear that on a xmas ad ever. well done on an amazing advert john lewis!",3,general christmas advert discussion,POSITIVE,0.9996429681777954
@yudit4208,"So simple, made me cry",2025-11-13 11:35:28+00:00,0,"so simple, made me cry",4,mixed evaluations (best vs worst),POSITIVE,0.9655770659446716
@ExploringwithAustinandThomas,"I consider myself very lucky that I'm have a close relationship with my son, we share our love of Exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's Teenagers 🙂",2025-11-13 09:59:34+00:00,1,"i consider myself very lucky that i'm have a close relationship with my son, we share our love of exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's teenagers",5,family themes & representation,POSITIVE,0.6420998573303223
@SuperTorres76,The worst christmas advert i have ever seen,2025-11-13 08:29:13+00:00,0,the worst christmas advert i have ever seen,4,mixed evaluations (best vs worst),NEGATIVE,0.9997923970222473
@christopherhoward5959,Great advert,2025-11-13 07:27:06+00:00,0,great advert,3,general christmas advert discussion,POSITIVE,0.8550664186477661
@3500P5,"Started off mega cheesy, then it got me 😢",2025-11-13 06:29:11+00:00,0,"started off mega cheesy, then it got me",1,strong emotional praise,NEGATIVE,0.9909226298332214
@cotchingg,"Finally, something without an agenda, brung a tear to my eye",2025-11-12 20:52:24+00:00,1,"finally, something without an agenda, brung a tear to my eye",4,mixed evaluations (best vs worst),NEGATIVE,0.9935299754142761
@astrabelmont,53 year-old with a five year-old who saves my life every single day.  Need I say more.,2025-11-12 20:09:41+00:00,2,53 year-old with a five year-old who saves my life every single day. need i say more.,2,nostalgia & memories,POSITIVE,0.9796174168586731
@judygreggor612,"This is what a Christmas advert should look like, should represent.  Love, Dads, Sons, Mothers, daughters, family.  ♥♥",2025-11-12 17:54:18+00:00,7,"this is what a christmas advert should look like, should represent. love, dads, sons, mothers, daughters, family.",0,music themes & general praise,POSITIVE,0.9980448484420776
@sashal7812,🥺🥺🥺🥺🥺🥺🥺🥺🥺,2025-11-12 17:53:47+00:00,1,🥺🥺🥺🥺🥺🥺🥺🥺🥺,0,music themes & general praise,POSITIVE,0.9841169714927673
@Nigelwheeler-fz3is,I do not care about what any adverts message is.  I have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. Santa has come early.,2025-11-12 15:23:15+00:00,0,i do not care about what any adverts message is. i have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. santa has come early.,3,general christmas advert discussion,NEGATIVE,0.9959119558334351
@cinammondream,Oh no I voted through this one as well,2025-11-12 13:28:58+00:00,0,oh no i voted through this one as well,1,strong emotional praise,POSITIVE,0.8793998956680298
@BorderBookshop,I'm not crying,2025-11-12 13:19:29+00:00,1,i'm not crying,1,strong emotional praise,NEGATIVE,0.8624741435050964
@NeilYoung-hh7ne,Thank you JL.  Men needed this.,2025-11-12 11:39:28+00:00,0,thank you jl. men needed this.,3,general christmas advert discussion,POSITIVE,0.9960989952087402
@russellthompson9271,I'm in tears 😢 beautiful advert,2025-11-12 09:53:15+00:00,0,i'm in tears beautiful advert,5,family themes & representation,POSITIVE,0.9996764659881592
@MusicProducerinPrague,"wow I no longer live in the UK but its the first advert that has really hit me hard, that was amazing! PR finally doing what they should do! Brilliant!!!",2025-11-12 09:04:27+00:00,1,"wow i no longer live in the uk but its the first advert that has really hit me hard, that was amazing! pr finally doing what they should do! brilliant!!!",5,family themes & representation,POSITIVE,0.9995884299278259
@the45boxs79,Music aside That kid looks petrified of his dad like he's done something wrong,2025-11-12 08:53:09+00:00,3,music aside that kid looks petrified of his dad like he's done something wrong,0,music themes & general praise,NEGATIVE,0.9963666200637817
@stephaniebennett9123,John Lewis don’t sell records 😐,2025-11-12 06:13:03+00:00,0,john lewis don’t sell records,3,general christmas advert discussion,NEGATIVE,0.9948268532752991
@selwyn581,"What a beautiful video.  Well done John Lewis, you made me cry 🥹",2025-11-12 04:15:10+00:00,0,"what a beautiful video. well done john lewis, you made me cry 🥹",3,general christmas advert discussion,POSITIVE,0.9997816681861877
@LookinAtStars,"Thank you for portraying autism in a positive light.
Too many of us are still excluded.
🫂❤️",2025-11-12 02:06:16+00:00,0,thank you for portraying autism in a positive light. too many of us are still excluded. 🫂,4,mixed evaluations (best vs worst),POSITIVE,0.9980858564376831
@sammyw6687,"Manchester…early 90’s, the Hacienda, the House and Garage music scene, United started winning everything…the city was alive. . Great memories well played John Lewis",2025-11-11 20:09:53+00:00,0,"manchester…early 90’s, the hacienda, the house and garage music scene, united started winning everything…the city was alive. . great memories well played john lewis",3,general christmas advert discussion,POSITIVE,0.9998598098754883
@SuperChilliJam,Why did he only just find it though?,2025-11-11 20:08:09+00:00,0,why did he only just find it though?,0,music themes & general praise,NEGATIVE,0.9985260367393494
@mickdavidson6688,Tuuuunnnne!!,2025-11-11 19:51:32+00:00,0,tuuuunnnne!!,0,music themes & general praise,NEGATIVE,0.937714695930481
@gazzhumbly5433,This advert is even better that it triggers the wokesters,2025-11-11 19:19:44+00:00,1,this advert is even better that it triggers the wokesters,0,music themes & general praise,POSITIVE,0.5335468649864197
@Senorzilchnzero,I guess Im the only one that sees this ad as nothing more than a manipulation of your mind for consumerism. Ahhhhh this makes me feel sad..its from John Lewis...I guess ill go and shop from their store...Are we so deep into this psychosis as a species that we cant even comprehend that a group of people got hired to make an ad not because they care or because its holidays but because they need to make more money this season. And all you sheep fell for it.,2025-11-11 16:53:01+00:00,1,i guess im the only one that sees this ad as nothing more than a manipulation of your mind for consumerism. ahhhhh this makes me feel sad..its from john lewis...i guess ill go and shop from their store...are we so deep into this psychosis as a species that we cant even comprehend that a group of people got hired to make an ad not because they care or because its holidays but because they need to make more money this season. and all you sheep fell for it.,3,general christmas advert discussion,NEGATIVE,0.999268114566803
@jamsward1966,Love the artwork in the house,2025-11-11 16:49:51+00:00,0,love the artwork in the house,0,music themes & general praise,POSITIVE,0.9977779984474182
@glosza,wholesome,2025-11-11 16:25:07+00:00,0,wholesome,0,music themes & general praise,POSITIVE,0.9941704869270325
@joselebeer,Great advert. Caught the dynamic between me and my son perfectly.,2025-11-11 15:54:09+00:00,3,great advert. caught the dynamic between me and my son perfectly.,3,general christmas advert discussion,POSITIVE,0.9998769760131836
@edm5166,90s 4 Life ❤,2025-11-11 08:14:26+00:00,0,90s 4 life,1,strong emotional praise,POSITIVE,0.9898425936698914
@michelecull3261,"Yes its a shame that these relationships with parents/dads happen in the first place isnt it, it takes so much more than a sentimental record in an advert  to fix all that pain though. So much more. 🙏🕊🙁",2025-11-11 07:37:28+00:00,0,"yes its a shame that these relationships with parents/dads happen in the first place isnt it, it takes so much more than a sentimental record in an advert to fix all that pain though. so much more.",1,strong emotional praise,NEGATIVE,0.9953081011772156
@beemac79,Your boy's never too old for a hug,2025-11-11 07:23:20+00:00,1,your boy's never too old for a hug,2,nostalgia & memories,POSITIVE,0.9997290968894958
@richardvines2423,Nailed it,2025-11-11 00:08:55+00:00,0,nailed it,2,nostalgia & memories,POSITIVE,0.9568061232566833
@Gazeroo71,Superb ❤,2025-11-10 23:46:07+00:00,0,superb,1,strong emotional praise,POSITIVE,0.9827548861503601
@GManie88,"To be honest, I thought the son was coming out. Nearly a normal ad asides dad crying over some bull",2025-11-10 23:00:14+00:00,0,"to be honest, i thought the son was coming out. nearly a normal ad asides dad crying over some bull",3,general christmas advert discussion,NEGATIVE,0.9841499924659729
@gemmahartley7592,Made me cry,2025-11-10 22:41:47+00:00,0,made me cry,0,music themes & general praise,POSITIVE,0.9584877490997314
@JackCODYTeGod,Finally a white family representation,2025-11-10 21:16:50+00:00,0,finally a white family representation,5,family themes & representation,POSITIVE,0.8828530311584473
@ionsi120,I loved this. Beautiful.,2025-11-10 20:58:33+00:00,0,i loved this. beautiful.,0,music themes & general praise,POSITIVE,0.999678373336792
@dranuragroy2072,"Sometimes the smallest gift carries the biggest truth that love never really leaves, it just finds new ways to be heard.",2025-11-10 20:44:47+00:00,0,"sometimes the smallest gift carries the biggest truth that love never really leaves, it just finds new ways to be heard.",4,mixed evaluations (best vs worst),POSITIVE,0.7840713262557983
@irenequick5642,I love this add moved me to tears well done guys,2025-11-10 20:07:23+00:00,0,i love this add moved me to tears well done guys,5,family themes & representation,POSITIVE,0.999796450138092
@josims1863,Its a lovely advert but its not Christmas xx,2025-11-10 18:42:32+00:00,0,its a lovely advert but its not christmas xx,3,general christmas advert discussion,NEGATIVE,0.8530088663101196
@fridayscoldone4096,"Amazing ad....
Son sees who dad was....dad sees who his son is!!!!",2025-11-10 18:12:30+00:00,0,amazing ad.... son sees who dad was....dad sees who his son is!!!!,1,strong emotional praise,POSITIVE,0.9998356103897095
@antonfarqua,"Tears fill my eyes and a warmth fills my heart every time I see this❤
Raver till i die",2025-11-10 17:41:45+00:00,0,tears fill my eyes and a warmth fills my heart every time i see this raver till i die,3,general christmas advert discussion,POSITIVE,0.9993543028831482
@Build-On560,People are crying over ts 🙏🥀,2025-11-10 16:27:18+00:00,0,people are crying over ts 🥀,4,mixed evaluations (best vs worst),NEGATIVE,0.9791758060455322
@warrenbut1455,Bring back snapper or edgar or moshi just my opinion,2025-11-10 15:36:20+00:00,0,bring back snapper or edgar or moshi just my opinion,5,family themes & representation,POSITIVE,0.8954594731330872
@laughtercise,"Have fun in your youth, dance, get lost in the moment - you’ll probably meet someone magical while doing so - and then fatherhood will (should) yank you away from adolescence, but take that fun and dancing into fatherhood and get lost in the moment 💙

A thing of absolute beauty 💙 Well done John Lewis and Saathci & Saatchi, as a father it had me in tears.",2025-11-10 14:44:20+00:00,1,"have fun in your youth, dance, get lost in the moment - you’ll probably meet someone magical while doing so - and then fatherhood will (should) yank you away from adolescence, but take that fun and dancing into fatherhood and get lost in the moment a thing of absolute beauty well done john lewis and saathci & saatchi, as a father it had me in tears.",5,family themes & representation,POSITIVE,0.9993935823440552
@JamesRussell-wv7hs,Looks like someone watched Aftersun not long before the big John Lewis Christmas Advert brainstorm meeting,2025-11-10 14:20:29+00:00,0,looks like someone watched aftersun not long before the big john lewis christmas advert brainstorm meeting,3,general christmas advert discussion,NEGATIVE,0.9925000071525574
@artinphotos9996,"I'm 59 with a son who just turned 33. He's still my little boy, there are no words when it comes to saying how much I love him, we are really close😊",2025-11-10 13:45:38+00:00,0,"i'm 59 with a son who just turned 33. he's still my little boy, there are no words when it comes to saying how much i love him, we are really close",3,general christmas advert discussion,POSITIVE,0.9986557960510254
@obscurum6,Normalises poor communication in males and thus enables poor mental health in men.,2025-11-10 12:56:01+00:00,0,normalises poor communication in males and thus enables poor mental health in men.,5,family themes & representation,NEGATIVE,0.9993042945861816
@rickdeckard4213,"Christmas a time of joy and happiness, but this ad is totally depressing. 👎🏻",2025-11-10 11:59:17+00:00,0,"christmas a time of joy and happiness, but this ad is totally depressing.",3,general christmas advert discussion,NEGATIVE,0.9990440011024475
@ryanastley4789,The world is healing,2025-11-10 09:52:21+00:00,0,the world is healing,2,nostalgia & memories,POSITIVE,0.9995868802070618
@matconsume9487,They didn’t play this a the raves I went to ……. Plastic,2025-11-10 09:30:56+00:00,0,they didn’t play this a the raves i went to ……. plastic,0,music themes & general praise,NEGATIVE,0.9926436543464661
@dipsk88,"A real Xmas advert again! 
No forcing narratives or dei down our throats... Just a great heartfelt moment",2025-11-10 08:56:56+00:00,0,a real xmas advert again! no forcing narratives or dei down our throats... just a great heartfelt moment,3,general christmas advert discussion,POSITIVE,0.9529104828834534
@billymabum3514,I’m surprised we’re still allowed Christmas adverts,2025-11-10 07:55:01+00:00,0,i’m surprised we’re still allowed christmas adverts,3,general christmas advert discussion,POSITIVE,0.9328672289848328
@YCpowerT,I just became a father a few months ago and this broke me,2025-11-10 01:55:04+00:00,0,i just became a father a few months ago and this broke me,4,mixed evaluations (best vs worst),NEGATIVE,0.8696981072425842
@emmadeal1105,Cudda chose a better tune🎉,2025-11-10 00:50:28+00:00,0,cudda chose a better tune,0,music themes & general praise,NEGATIVE,0.9561581611633301
@knowlescity,A white family in 2025???,2025-11-10 00:48:24+00:00,0,a white family in 2025???,5,family themes & representation,NEGATIVE,0.8782711029052734
@InspiredGuesswork,"46yo dad with a 16yo son. Been collecting records since 1994. Son now collects records, too. Can you see where I’m going with this? In bits every time I watch this.",2025-11-10 00:11:49+00:00,0,"46yo dad with a 16yo son. been collecting records since 1994. son now collects records, too. can you see where i’m going with this? in bits every time i watch this.",3,general christmas advert discussion,POSITIVE,0.9937090873718262
@jayd4ever,Representing uk for once,2025-11-09 23:15:08+00:00,0,representing uk for once,0,music themes & general praise,POSITIVE,0.9818151593208313
@pogwart,Nice one 👍,2025-11-09 23:05:16+00:00,0,nice one,0,music themes & general praise,POSITIVE,0.988497257232666
@Daveukfix,"Thank you JL, for this quiet nod. I nod back; and promise to shop with you. ❤",2025-11-09 22:57:10+00:00,0,"thank you jl, for this quiet nod. i nod back; and promise to shop with you.",3,general christmas advert discussion,POSITIVE,0.9998087286949158
@adambooth1981,The antidote to the final scene in Adolescence. Love it.,2025-11-09 22:40:06+00:00,0,the antidote to the final scene in adolescence. love it.,5,family themes & representation,POSITIVE,0.9998805522918701
@elizabethstanly1402,Super 👌👏❤️,2025-11-09 21:48:12+00:00,0,super,0,music themes & general praise,POSITIVE,0.9843930602073669
@phaywood5883,Nailed it John Lewis.,2025-11-09 21:08:02+00:00,0,nailed it john lewis.,3,general christmas advert discussion,POSITIVE,0.9844428896903992
@leroythompson8942,Old skool assemble 😂,2025-11-09 21:00:10+00:00,0,old skool assemble,2,nostalgia & memories,NEGATIVE,0.9890869855880737
@vvwalker7261,"JL nailed it, what an advert!",2025-11-09 20:59:16+00:00,0,"jl nailed it, what an advert!",2,nostalgia & memories,POSITIVE,0.9926403164863586
@HeyBugguLuggs,"A lovely advert - resonates with so many families with teenagers, particularly teenage boys ❤️‍🩹👌",2025-11-09 20:55:17+00:00,0,"a lovely advert - resonates with so many families with teenagers, particularly teenage boys ‍🩹",1,strong emotional praise,POSITIVE,0.9998000264167786
@Kongwarthunder,My mum sent this to me what does this mean 💔✌️,2025-11-09 20:37:20+00:00,0,my mum sent this to me what does this mean,5,family themes & representation,NEGATIVE,0.996160626411438
@4th_Lensman_of_the_Apocalypse,"I dont understand, where are all the brown people?",2025-11-09 19:55:46+00:00,1,"i dont understand, where are all the brown people?",4,mixed evaluations (best vs worst),NEGATIVE,0.9982526898384094
@alexazzola8342,My dad and I bonded over how terrible this advert is and how much we HATE it,2025-11-09 19:17:01+00:00,0,my dad and i bonded over how terrible this advert is and how much we hate it,5,family themes & representation,NEGATIVE,0.9992076754570007
@neilharrison147,"That sone is not from 1991, more 1996  1997 when dance came commercial and overground , I was dancing to it then!",2025-11-09 17:51:28+00:00,0,"that sone is not from 1991, more 1996 1997 when dance came commercial and overground , i was dancing to it then!",5,family themes & representation,NEGATIVE,0.8923167586326599
@laimonpalkim3940,My one of favourite 90s dance classics song❤❤❤,2025-11-09 17:46:41+00:00,0,my one of favourite 90s dance classics song,5,family themes & representation,POSITIVE,0.9998040795326233
@insertnamehere5809,I'm just shocked to see white people in a commercial that's positive 🤯,2025-11-09 17:46:21+00:00,0,i'm just shocked to see white people in a commercial that's positive 🤯,4,mixed evaluations (best vs worst),POSITIVE,0.9966326355934143
@barleyarrish,More power to you JL,2025-11-09 16:27:53+00:00,0,more power to you jl,1,strong emotional praise,POSITIVE,0.9995288848876953
@jimmycricket7385,Let me play on your emotions to get your money.  John Lewis.,2025-11-09 16:10:23+00:00,0,let me play on your emotions to get your money. john lewis.,3,general christmas advert discussion,NEGATIVE,0.9944435954093933
@TheStalec,Adolescence 2,2025-11-09 16:06:24+00:00,0,adolescence 2,0,music themes & general praise,POSITIVE,0.9484173059463501
@Choochoo535,Absolutely love this advert,2025-11-09 14:56:42+00:00,0,absolutely love this advert,5,family themes & representation,POSITIVE,0.9934791326522827
@alexanderoddy4916,I’m not crying…..your crying,2025-11-09 14:55:03+00:00,0,i’m not crying…..your crying,1,strong emotional praise,POSITIVE,0.9985195994377136
@glenstanley7947,Better than last year's pathetic effort! ❤,2025-11-09 14:33:35+00:00,0,better than last year's pathetic effort!,0,music themes & general praise,POSITIVE,0.9830995798110962
@M9Diry,In real life : a middle class family wouldn’t allow the opening of a present without everyone sitting round the tree and watching the reactions,2025-11-09 14:02:14+00:00,0,in real life : a middle class family wouldn’t allow the opening of a present without everyone sitting round the tree and watching the reactions,0,music themes & general praise,POSITIVE,0.9873758554458618
@stcrispin,Merry Christmas JL 🎄🎅,2025-11-09 12:54:11+00:00,0,merry christmas jl,3,general christmas advert discussion,POSITIVE,0.9640427231788635
@ElliottCarter209,Which version of this song is this? I absolutely love it,2025-11-09 12:50:11+00:00,0,which version of this song is this? i absolutely love it,5,family themes & representation,POSITIVE,0.9998294115066528
@jonathanford-f8c,"Amazing advert and well done for recognising dads. Not always easy but as a 45 year old with two and growing up early to mid 90s with the dance tunes, this really hit home. Powerful stuff ❤",2025-11-09 12:25:51+00:00,0,"amazing advert and well done for recognising dads. not always easy but as a 45 year old with two and growing up early to mid 90s with the dance tunes, this really hit home. powerful stuff",2,nostalgia & memories,POSITIVE,0.9998486042022705
@juliearnold6249,"OMG, This is the best.",2025-11-09 12:16:10+00:00,0,"omg, this is the best.",1,strong emotional praise,POSITIVE,0.9998229146003723
@mrsdungeyevans,"Is it me who doesn't get it or is it just as it looks... A man who had a stop his clubbing days to become a parent? Isn't that what everyone did?

 Im reading comments about losing a son and people crying...

Am I just being really thick and not getting the hidden message?",2025-11-09 12:13:21+00:00,1,is it me who doesn't get it or is it just as it looks... a man who had a stop his clubbing days to become a parent? isn't that what everyone did? im reading comments about losing a son and people crying... am i just being really thick and not getting the hidden message?,4,mixed evaluations (best vs worst),NEGATIVE,0.9990594983100891
@TerryNicholas-g3i,"Another so-called Christmas advert that omits to mention Christmas, rumours of woke's death are greatly exaggerated.",2025-11-09 11:53:45+00:00,0,"another so-called christmas advert that omits to mention christmas, rumours of woke's death are greatly exaggerated.",3,general christmas advert discussion,NEGATIVE,0.9994210004806519
@joshcoote6912,Love it,2025-11-09 11:46:59+00:00,1,love it,5,family themes & representation,POSITIVE,0.9887214303016663
@DonB-dv2bc,I'm not crying 😭 this advert reminded me so much of my late Dad and my younger brother ❤️ well done John Lewis 👏,2025-11-09 11:43:00+00:00,0,i'm not crying this advert reminded me so much of my late dad and my younger brother well done john lewis,3,general christmas advert discussion,POSITIVE,0.9973873496055603
@colinjessimer1150,Beautiful moment. Love always lives,2025-11-09 11:39:56+00:00,0,beautiful moment. love always lives,5,family themes & representation,POSITIVE,0.9996084570884705
@pPod1231,"Well… that’s… just kicked me in the feels…. 😢
That’s enough internet for today",2025-11-09 11:31:34+00:00,0,well… that’s… just kicked me in the feels…. that’s enough internet for today,2,nostalgia & memories,POSITIVE,0.6724817156791687
@elle5266,The Nineties were just everything.. I miss that era so much,2025-11-09 11:17:47+00:00,0,the nineties were just everything.. i miss that era so much,2,nostalgia & memories,NEGATIVE,0.9478759169578552
@JayGall-jw2fw,Cheers. Im crying now,2025-11-09 10:58:15+00:00,0,cheers. im crying now,1,strong emotional praise,POSITIVE,0.8870015740394592
@clairfoster211,This had me crying. You could just feel the memories and emotions. It was so lovely❤,2025-11-09 10:45:11+00:00,0,this had me crying. you could just feel the memories and emotions. it was so lovely,3,general christmas advert discussion,POSITIVE,0.9997500777244568
@robkotla3642,We need more advertising like this . 😢,2025-11-09 10:41:57+00:00,0,we need more advertising like this .,3,general christmas advert discussion,NEGATIVE,0.9992719292640686
@mrsK1620,Worst one yet so disappointed,2025-11-09 10:35:16+00:00,0,worst one yet so disappointed,4,mixed evaluations (best vs worst),NEGATIVE,0.9638795256614685
@nopenope3512,A white family in 2025????,2025-11-09 09:57:49+00:00,0,a white family in 2025????,5,family themes & representation,NEGATIVE,0.8965567350387573
@nettyfullwood7898,Wonderful❤,2025-11-09 09:55:39+00:00,0,wonderful,1,strong emotional praise,POSITIVE,0.9910865426063538
@markwild3864,"Reality sets in after watching this advert and it’s true 
Thank you John Lewis ❤❤",2025-11-09 09:49:04+00:00,0,reality sets in after watching this advert and it’s true thank you john lewis,3,general christmas advert discussion,POSITIVE,0.9998456239700317
@MrBottomrung,Have the left lost their minds. A father and son recognition of love whatever next?,2025-11-09 09:35:52+00:00,0,have the left lost their minds. a father and son recognition of love whatever next?,4,mixed evaluations (best vs worst),NEGATIVE,0.9987271428108215
@chrislittle2797,Great ad. Charlotte Wells should be contacting her lawyers though.,2025-11-09 09:21:23+00:00,0,great ad. charlotte wells should be contacting her lawyers though.,2,nostalgia & memories,NEGATIVE,0.623700737953186
@Kate28889,Watching adverts to watch an advert. Wild.,2025-11-09 09:11:05+00:00,0,watching adverts to watch an advert. wild.,3,general christmas advert discussion,POSITIVE,0.9673654437065125
@sonicboove4865,I showed this to my wife but had to walk out to hide the tears. Great ad.,2025-11-09 09:05:52+00:00,0,i showed this to my wife but had to walk out to hide the tears. great ad.,3,general christmas advert discussion,NEGATIVE,0.9974017143249512
@ThepigandThemonkey,Complete rip off of After Sun,2025-11-09 08:39:58+00:00,0,complete rip off of after sun,0,music themes & general praise,NEGATIVE,0.950840950012207
@007redmist,Love this. A traditional normal white family.🫶👏👏,2025-11-09 08:28:52+00:00,0,love this. a traditional normal white family.🫶,5,family themes & representation,POSITIVE,0.9998544454574585
@Flo-xl7zv,Merry Christmas Dad,2025-11-09 08:28:23+00:00,1,merry christmas dad,3,general christmas advert discussion,POSITIVE,0.9970676302909851
@Flo-xl7zv,Excellent,2025-11-09 08:27:48+00:00,1,excellent,3,general christmas advert discussion,POSITIVE,0.9983355402946472
@WKartist,Beautifully composed and speaks volumes in a world which is so uncertain today. This actually made me cry ❤,2025-11-09 08:26:06+00:00,2,beautifully composed and speaks volumes in a world which is so uncertain today. this actually made me cry,2,nostalgia & memories,POSITIVE,0.9981649518013
@Macluci,What a fantastic advert .. no words needed ❤❤,2025-11-09 07:42:57+00:00,1,what a fantastic advert .. no words needed,3,general christmas advert discussion,POSITIVE,0.9927607774734497
